attendance_id,student_id,course_id,date,permission,absent_class_periods,reason
431,1911549351,100107462901,17/10/2022,2,0,
432,1911549351,100107462901,19/12/2022,2,0,
433,1911549351,100107462901,24/10/2022,2,0,
434,1911549351,100107462901,26/12/2022,2,0,
435,1911549351,100107462901,28/11/2022,2,0,
436,1911549351,100107462901,31/10/2022,2,0,
437,1911549351,100107462901,31/10/2022,2,0,
438,2000000050,100107462901,05/12/2022,2,0,
439,2000000050,100107462901,07/11/2022,2,0,
440,2000000050,100107462901,07/11/2022,2,0,
441,2000000050,100107462901,10/10/2022,2,0,
442,2000000050,100107462901,12/12/2022,2,0,
443,2000000050,100107462901,17/10/2022,2,0,
444,2000000050,100107462901,19/12/2022,2,0,
445,2000000050,100107462901,24/10/2022,2,0,
446,2000000050,100107462901,26/12/2022,2,0,
447,2000000050,100107462901,28/11/2022,2,0,
448,2000000050,100107462901,31/10/2022,2,0,
449,2000000050,100107462901,31/10/2022,2,0,
450,2000000558,100107462901,05/12/2022,2,0,
451,2000000558,100107462901,07/11/2022,2,0,
452,2000000558,100107462901,07/11/2022,2,0,
453,2000000558,100107462901,10/10/2022,2,0,
454,2000000558,100107462901,12/12/2022,2,0,
455,2000000558,100107462901,17/10/2022,2,0,
456,2000000558,100107462901,19/12/2022,2,0,
457,2000000558,100107462901,24/10/2022,2,0,
458,2000000558,100107462901,26/12/2022,2,0,
459,2000000558,100107462901,28/11/2022,2,0,
460,2000000558,100107462901,31/10/2022,2,0,
461,2000000558,100107462901,31/10/2022,2,0,
462,2000000740,100107462901,05/12/2022,2,0,
463,2000000740,100107462901,07/11/2022,2,0,
464,2000000740,100107462901,07/11/2022,2,0,
465,2000000740,100107462901,10/10/2022,2,0,
466,2000000740,100107462901,12/12/2022,2,0,
467,2000000740,100107462901,17/10/2022,2,0,
468,2000000740,100107462901,19/12/2022,2,0,
469,2000000740,100107462901,24/10/2022,2,0,
470,2000000740,100107462901,26/12/2022,2,0,
471,2000000740,100107462901,28/11/2022,2,0,
472,2000000740,100107462901,31/10/2022,2,0,
473,2000000740,100107462901,31/10/2022,2,0,
474,2000000998,100107462901,05/12/2022,2,0,
475,2000000998,100107462901,07/11/2022,2,0,
476,2000000998,100107462901,07/11/2022,2,0,
477,2000000998,100107462901,10/10/2022,2,0,
478,2000000998,100107462901,12/12/2022,2,0,
479,2000000998,100107462901,17/10/2022,2,0,
480,2000000998,100107462901,19/12/2022,2,0,
481,2000000998,100107462901,24/10/2022,2,0,
482,2000000998,100107462901,26/12/2022,2,0,
483,2000000998,100107462901,28/11/2022,2,0,
484,2000000998,100107462901,31/10/2022,2,0,
485,2000000998,100107462901,31/10/2022,2,0,
486,2000001001,100107462901,05/12/2022,2,0,
487,2000001001,100107462901,07/11/2022,2,0,
488,2000001001,100107462901,07/11/2022,2,0,
489,2000001001,100107462901,10/10/2022,2,0,
490,2000001001,100107462901,12/12/2022,2,0,
491,2000001001,100107462901,17/10/2022,2,0,
492,2000001001,100107462901,19/12/2022,2,0,
493,2000001001,100107462901,24/10/2022,2,0,
494,2000001001,100107462901,26/12/2022,2,0,
495,2000001001,100107462901,28/11/2022,2,0,
496,2000001001,100107462901,31/10/2022,2,0,
497,2000001001,100107462901,31/10/2022,2,0,
498,2000001452,100107462901,05/12/2022,2,0,
499,2000001452,100107462901,07/11/2022,2,0,
500,2000001452,100107462901,07/11/2022,2,0,
501,2000001452,100107462901,10/10/2022,2,0,
502,2000001452,100107462901,12/12/2022,2,0,
503,2000001452,100107462901,17/10/2022,2,0,
504,2000001452,100107462901,19/12/2022,2,0,
505,2000001452,100107462901,24/10/2022,2,0,
506,2000001452,100107462901,26/12/2022,2,0,
507,2000001452,100107462901,28/11/2022,2,0,
508,2000001452,100107462901,31/10/2022,2,0,
509,2000001452,100107462901,31/10/2022,2,0,
510,2000001530,100107462901,05/12/2022,2,0,
511,2000001530,100107462901,07/11/2022,2,0,
512,2000001530,100107462901,07/11/2022,2,0,
513,2000001530,100107462901,10/10/2022,2,0,
514,2000001530,100107462901,12/12/2022,2,0,
515,2000001530,100107462901,17/10/2022,2,0,
516,2000001530,100107462901,19/12/2022,2,0,
517,2000001530,100107462901,24/10/2022,2,0,
518,2000001530,100107462901,26/12/2022,2,0,
519,2000001530,100107462901,28/11/2022,2,0,
520,2000001530,100107462901,31/10/2022,2,0,
521,2000001530,100107462901,31/10/2022,2,0,
522,2000002441,100107462901,05/12/2022,2,0,
523,2000002441,100107462901,07/11/2022,2,0,
524,2000002441,100107462901,07/11/2022,2,0,
525,2000002441,100107462901,10/10/2022,2,0,
526,2000002441,100107462901,12/12/2022,2,0,
527,2000002441,100107462901,17/10/2022,2,0,
528,2000002441,100107462901,19/12/2022,2,0,
529,2000002441,100107462901,24/10/2022,2,0,
530,2000002441,100107462901,26/12/2022,2,0,
531,2000002441,100107462901,28/11/2022,2,0,
532,2000002441,100107462901,31/10/2022,2,0,
533,2000002441,100107462901,31/10/2022,2,0,
534,2000002664,100107462901,05/12/2022,2,0,
535,2000002664,100107462901,07/11/2022,2,0,
536,2000002664,100107462901,07/11/2022,2,0,
537,2000002664,100107462901,10/10/2022,2,0,
538,2000002664,100107462901,12/12/2022,2,0,
539,2000002664,100107462901,17/10/2022,2,0,
540,2000002664,100107462901,19/12/2022,2,0,
541,2000002664,100107462901,24/10/2022,2,0,
542,2000002664,100107462901,26/12/2022,2,0,
543,2000002664,100107462901,28/11/2022,2,0,
544,2000002664,100107462901,31/10/2022,2,0,
545,2000002664,100107462901,31/10/2022,2,0,
546,2000002665,100107462901,05/12/2022,2,0,
547,2000002665,100107462901,07/11/2022,2,0,
548,2000002665,100107462901,07/11/2022,2,0,
549,2000002665,100107462901,10/10/2022,2,0,
550,2000002665,100107462901,12/12/2022,2,0,
551,2000002665,100107462901,17/10/2022,2,0,
552,2000002665,100107462901,19/12/2022,2,0,
553,2000002665,100107462901,24/10/2022,2,0,
554,2000002665,100107462901,26/12/2022,2,0,
555,2000002665,100107462901,28/11/2022,2,0,
556,2000002665,100107462901,31/10/2022,2,0,
557,2000002665,100107462901,31/10/2022,2,0,
558,2000003076,100107462901,05/12/2022,2,0,
559,2000003076,100107462901,07/11/2022,2,0,
560,2000003076,100107462901,07/11/2022,2,0,
561,2000003076,100107462901,10/10/2022,2,0,
562,2000003076,100107462901,12/12/2022,2,0,
563,2000003076,100107462901,17/10/2022,2,0,
564,2000003076,100107462901,19/12/2022,2,0,
565,2000003076,100107462901,24/10/2022,2,0,
566,2000003076,100107462901,26/12/2022,2,0,
567,2000003076,100107462901,28/11/2022,2,0,
568,2000003076,100107462901,31/10/2022,2,0,
569,2000003076,100107462901,31/10/2022,2,0,
570,2000003308,100107462901,05/12/2022,2,0,
571,2000003308,100107462901,07/11/2022,2,0,
572,2000003308,100107462901,07/11/2022,2,0,
